,cores,sizes,times
0,1,1000,0.43353962898254395
1,1,2000,1.0441038608551025
2,1,5000,3.2843663692474365
3,1,7000,4.99356746673584
4,1,10000,7.996385097503662
5,1,15000,14.154267311096191
6,1,20000,22.472350358963013
7,1,25000,36.02867031097412
8,1,30000,51.93911790847778
9,1,45000,87.45443296432495
10,1,60000,123.754221200943
11,1,70000,148.07594203948975
12,2,1000,0.24151897430419922
13,2,2000,0.5580224990844727
14,2,5000,1.771277666091919
15,2,7000,2.686974048614502
16,2,10000,4.369652509689331
17,2,15000,7.845672845840454
18,2,20000,12.137079000473022
19,2,25000,20.19027090072632
20,2,30000,28.072140216827393
21,2,45000,51.76918625831604
22,2,60000,72.68717360496521
23,2,70000,86.9029586315155
24,3,1000,0.19548320770263672
25,3,2000,0.4065206050872803
26,3,5000,1.211782455444336
27,3,7000,1.852858066558838
28,3,10000,2.9375433921813965
29,3,15000,5.249641180038452
30,3,20000,8.049489736557007
31,3,25000,13.586398601531982
32,3,30000,19.49942421913147
33,3,45000,34.44937252998352
34,3,60000,49.592509031295776
35,3,70000,59.01192569732666
36,4,1000,0.13785362243652344
37,4,2000,0.3042781352996826
38,4,5000,0.9117114543914795
39,4,7000,1.4217345714569092
40,4,10000,2.2908220291137695
41,4,15000,3.937563896179199
42,4,20000,5.938636064529419
43,4,25000,10.04543685913086
44,4,30000,14.220710754394531
45,4,45000,25.494035720825195
46,4,60000,36.922921657562256
47,4,70000,44.14434266090393
48,5,1000,0.12350201606750488
49,5,2000,0.2711911201477051
50,5,5000,0.8475115299224854
51,5,7000,1.187089443206787
52,5,10000,1.956359624862671
53,5,15000,3.421715021133423
54,5,20000,4.930887460708618
55,5,25000,8.532436609268188
56,5,30000,11.936099290847778
57,5,45000,20.938836097717285
58,5,60000,30.18942093849182
59,5,70000,36.06401324272156
60,6,1000,0.11268925666809082
61,6,2000,0.23059415817260742
62,6,5000,0.7032561302185059
63,6,7000,1.047940731048584
64,6,10000,1.6114656925201416
65,6,15000,2.8681349754333496
66,6,20000,4.311212062835693
67,6,25000,7.1080873012542725
68,6,30000,10.087202310562134
69,6,45000,17.731508493423462
70,6,60000,25.384495973587036
71,6,70000,30.435585737228394
72,9,1000,0.10119390487670898
73,9,2000,0.20284819602966309
74,9,5000,0.5426473617553711
75,9,7000,0.7777009010314941
76,9,10000,1.1906864643096924
77,9,15000,2.1233763694763184
78,9,20000,3.2592670917510986
79,9,25000,5.154683589935303
80,9,30000,7.063689470291138
81,9,45000,12.309399366378784
82,9,60000,17.75273847579956
83,9,70000,21.126389503479004
84,12,1000,0.09235334396362305
85,12,2000,0.1755053997039795
86,12,5000,0.46157217025756836
87,12,7000,0.6635110378265381
88,12,10000,1.032893180847168
89,12,15000,1.7248103618621826
90,12,20000,2.6435389518737793
91,12,25000,4.097490549087524
92,12,30000,5.694245100021362
93,12,45000,9.591136932373047
94,12,60000,13.73383355140686
95,12,70000,16.439476490020752
96,15,1000,0.08212065696716309
97,15,2000,0.16945791244506836
98,15,5000,0.39053797721862793
99,15,7000,0.575894832611084
100,15,10000,0.8972969055175781
101,15,15000,1.5355112552642822
102,15,20000,2.321108341217041
103,15,25000,3.548360824584961
104,15,30000,4.819944381713867
105,15,45000,8.108754634857178
106,15,60000,11.536372900009155
107,15,70000,13.841092824935913
108,18,1000,0.08291101455688477
109,18,2000,0.16508054733276367
110,18,5000,0.3615872859954834
111,18,7000,0.5195703506469727
112,18,10000,0.8130671977996826
113,18,15000,1.3944268226623535
114,18,20000,1.9804091453552246
115,18,25000,3.008817195892334
116,18,30000,4.149754762649536
117,18,45000,6.923675060272217
118,18,60000,9.939695358276367
119,18,70000,11.778961420059204
120,24,1000,0.11001944541931152
121,24,2000,0.14208483695983887
122,24,5000,0.3109102249145508
123,24,7000,0.4214596748352051
124,24,10000,0.6577553749084473
125,24,15000,1.1061415672302246
126,24,20000,1.669098138809204
127,24,25000,2.4491143226623535
128,24,30000,3.3352909088134766
129,24,45000,5.368535995483398
130,24,60000,7.631534099578857
131,24,70000,9.121984004974365
132,32,1000,0.1828022003173828
133,32,2000,0.2082211971282959
134,32,5000,0.2754819393157959
135,32,7000,0.3775520324707031
136,32,10000,0.5676159858703613
137,32,15000,0.9673726558685303
138,32,20000,1.4147193431854248
139,32,25000,2.0175063610076904
140,32,30000,2.7227988243103027
141,32,45000,4.338773727416992
142,32,60000,6.110126733779907
143,32,70000,7.252415895462036
